,step,train_error,validation_error
221,22100,0.0625,0.21875
222,22200,0.0625,0.0
223,22300,0.0625,0.03125
224,22400,0.1875,0.0625
225,22500,0.0,0.0625
226,22600,0.03125,0.0
227,22700,0.0,0.125
228,22800,0.21875,0.21875
229,22900,0.25,0.03125
230,23000,0.0625,0.21875
231,23100,0.15625,0.21875
232,23200,0.0,0.03125
233,23300,0.21875,0.0
234,23400,0.25,0.25
235,23500,0.21875,0.0625
236,23600,0.0,0.0625
237,23700,0.0,0.0
238,23800,0.0,0.21875
239,23900,0.0,0.0
240,24000,0.0,0.03125
241,24100,0.25,0.09375
242,24200,0.0,0.0
243,24300,0.0,0.03125
244,24400,0.0,0.21875
245,24500,0.15625,0.21875
246,24600,0.0,0.0625
247,24700,0.03125,0.21875
248,24800,0.03125,0.0
249,24900,0.03125,0.0625
250,25000,0.21875,0.0625
251,25100,0.0,0.03125
252,25200,0.25,0.25
253,25300,0.0,0.0625
254,25400,0.0,0.25
255,25500,0.21875,0.0
256,25600,0.0,0.0625
257,25700,0.15625,0.0625
258,25800,0.0625,0.0
259,25900,0.15625,0.28125
260,26000,0.09375,0.03125
261,26100,0.09375,0.0625
262,26200,0.15625,0.0625
263,26300,0.03125,0.15625
264,26400,0.0625,0.03125
265,26500,0.0,0.0625
266,26600,0.0,0.0
267,26700,0.03125,0.0
268,26800,0.21875,0.0
269,26900,0.15625,0.0
270,27000,0.0625,0.0
271,27100,0.15625,0.0625
272,27200,0.21875,0.03125
273,27300,0.0625,0.09375
274,27400,0.0,0.0625
275,27500,0.21875,0.15625
276,27600,0.0,0.0
277,27700,0.1875,0.0
278,27800,0.0,0.0
279,27900,0.0,0.0
280,28000,0.0625,0.0
281,28100,0.21875,0.0
282,28200,0.1875,0.21875
283,28300,0.15625,0.15625
284,28400,0.0,0.25
285,28500,0.25,0.0625
286,28600,0.0625,0.1875
287,28700,0.0,0.03125
288,28800,0.0,0.0
289,28900,0.0625,0.0625
290,29000,0.0,0.21875
291,29100,0.03125,0.0625
292,29200,0.21875,0.15625
293,29300,0.0625,0.0
294,29400,0.0,0.21875
295,29500,0.0625,0.03125
296,29600,0.03125,0.0625
297,29700,0.21875,0.15625
298,29800,0.15625,0.0
299,29900,0.03125,0.0
300,30000,0.0,0.09375
301,30100,0.25,0.0
302,30200,0.0,0.03125
303,30300,0.03125,0.0
304,30400,0.0,0.0
305,30500,0.0,0.21875
306,30600,0.21875,0.15625
307,30700,0.03125,0.0
308,30800,0.21875,0.15625
309,30900,0.03125,0.0
310,31000,0.0,0.0
311,31100,0.0,0.0
312,31200,0.15625,0.03125
313,31300,0.03125,0.0
314,31400,0.0,0.0
315,31500,0.25,0.09375
316,31600,0.1875,0.03125
317,31700,0.0,0.0
