,subj,A,B,C,D
1,S024,9,9,7,3
2,S026,5,2,8,5
3,S028,8,10,5,1
4,S030,8,7,7,7
5,S031,10,9,6,9
6,S033,10,9,7,10
7,S035,7,4,6,5
8,S036,2,5,6,5
9,S037,9,10,7,7
10,S040,9,8,7,8
11,S043,6,4,4,3
12,S045,10,9,6,5
13,S046,8,8,7,8
14,S050,8,9,7,8
15,S051,9,9,8,8
17,S053,10,10,8,9
18,S055,5,5,5,5
19,S058,8,8,7,6
20,S059,8,7,2,6
22,S061,10,9,9,7
23,S062,8,7,6,6
24,S063,8,6,2,6
25,S065,8,6,8,7
26,S066,7,8,7,7
27,S067,7,9,6,8
