,step,train_error,validation_error
0,0,0.75,0.84375
1,100,0.21875,0.78125
2,200,0.4375,0.5
3,300,0.34375,0.875
4,400,0.375,0.625
5,500,0.375,0.71875
6,600,0.21875,0.59375
7,700,0.21875,0.6875
8,800,0.21875,0.6875
9,900,0.21875,0.6875
10,1000,0.21875,0.75
11,1100,0.5,0.75
12,1200,0.5,0.6875
13,1300,0.21875,0.6875
14,1400,0.25,0.6875
15,1500,0.125,0.875
16,1600,0.21875,0.71875
17,1700,0.21875,0.5625
18,1800,0.21875,0.65625
19,1900,0.21875,0.5625
20,2000,0.0625,0.625
21,2100,0.15625,0.75
22,2200,0.09375,0.71875
23,2300,0.0625,0.65625
24,2400,0.21875,0.5625
25,2500,0.0625,0.46875
26,2600,0.0625,0.5625
27,2700,0.09375,0.875
28,2800,0.21875,0.5625
29,2900,0.125,0.71875
30,3000,0.09375,0.4375
31,3100,0.0625,0.71875
32,3200,0.09375,0.96875
33,3300,0.09375,0.84375
34,3400,0.125,0.6875
35,3500,0.09375,0.6875
36,3600,0.09375,0.78125
37,3700,0.09375,0.6875
38,3800,0.0625,0.71875
39,3900,0.0625,0.71875
40,4000,0.09375,0.78125
41,4100,0.0625,0.46875
42,4200,0.09375,0.8125
43,4300,0.09375,0.59375
44,4400,0.09375,0.625
45,4500,0.09375,0.6875
46,4600,0.125,0.59375
47,4700,0.0625,0.59375
48,4800,0.125,0.53125
49,4900,0.09375,0.65625
50,5000,0.09375,0.5625
51,5100,0.0625,0.5
52,5200,0.0625,0.5625
53,5300,0.0625,1.0
54,5400,0.0625,0.46875
55,5500,0.0625,0.46875
56,5600,0.0,0.875
57,5700,0.09375,0.78125
58,5800,0.0625,0.96875
59,5900,0.0,0.875
60,6000,0.0625,0.9375
61,6100,0.15625,1.0
62,6200,0.03125,0.625
63,6300,0.0625,0.59375
64,6400,0.0625,0.65625
65,6500,0.0,0.9375
66,6600,0.0,0.59375
67,6700,0.0625,0.90625
68,6800,0.0,0.6875
69,6900,0.0625,0.84375
70,7000,0.0625,0.9375
71,7100,0.0625,0.59375
72,7200,0.0,0.90625
73,7300,0.0625,1.0
74,7400,0.09375,0.875
75,7500,0.15625,0.9375
76,7600,0.0,0.78125
77,7700,0.125,0.90625
78,7800,0.09375,0.625
79,7900,0.0625,0.90625
80,8000,0.03125,0.96875
81,8100,0.0625,0.875
82,8200,0.0,0.8125
83,8300,0.0,0.90625
84,8400,0.0625,0.96875
85,8500,0.0,1.0
86,8600,0.15625,0.96875
87,8700,0.0,1.0
88,8800,0.09375,0.90625
89,8900,0.03125,0.78125
90,9000,0.0,0.71875
91,9100,0.0,0.875
92,9200,0.0,0.9375
93,9300,0.03125,0.84375
94,9400,0.0625,0.96875
95,9500,0.09375,0.90625
96,9600,0.09375,0.90625
97,9700,0.0,0.90625
98,9800,0.0,0.90625
99,9900,0.0625,0.90625
