,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,C,18.0,2.0,2.0,16.0,C,1
1,D,20.0,5.0,5.0,15.0,C,1
2,E,18.0,11.0,11.0,7.0,C,1
3,F,18.0,6.0,6.0,12.0,C,1
0,C,18.0,7.0,7.0,11.0,C,2
0,C,18.0,11.0,11.0,7.0,D,3
1,D,20.0,12.0,12.0,8.0,D,3
2,F,18.0,19.0,19.0,-1.0,D,3
0,F,18.0,2.0,2.0,16.0,F,4
0,E,18.0,6.0,6.0,12.0,E,5
0,D,20.0,10.0,10.0,10.0,D,6
1,E,18.0,9.0,9.0,9.0,D,6
0,C,18.0,6.0,6.0,12.0,F,7
1,D,20.0,7.0,7.0,13.0,F,7
2,E,18.0,12.0,12.0,6.0,F,7
3,F,18.0,3.0,3.0,15.0,F,7
0,E,18.0,10.0,10.0,8.0,E,8
0,C,18.0,11.0,11.0,7.0,D,9
1,D,20.0,6.0,6.0,14.0,D,9
2,F,18.0,9.0,9.0,9.0,D,9
0,C,18.0,13.0,13.0,5.0,D,10
1,D,20.0,5.0,5.0,15.0,D,10
2,E,18.0,7.0,7.0,11.0,D,10
3,F,18.0,9.0,9.0,9.0,D,10
0,D,20.0,9.0,9.0,11.0,D,11
0,C,18.0,12.0,12.0,6.0,E,12
1,D,20.0,9.0,9.0,11.0,E,12
2,E,18.0,7.0,7.0,11.0,E,12
0,D,20.0,12.0,12.0,8.0,D,13
1,E,18.0,15.0,15.0,3.0,D,13
0,C,18.0,14.0,14.0,4.0,E,14
1,D,20.0,16.0,16.0,4.0,E,14
2,E,18.0,2.0,2.0,16.0,E,14
0,C,18.0,9.0,9.0,9.0,D,15
1,D,20.0,9.0,9.0,11.0,D,15
2,F,18.0,13.0,13.0,5.0,D,15
0,C,18.0,8.0,8.0,10.0,C,16
1,D,20.0,11.0,11.0,9.0,C,16
2,E,18.0,12.0,12.0,6.0,C,16
3,F,18.0,10.0,10.0,8.0,C,16
0,E,18.0,15.0,15.0,3.0,E,17
0,F,18.0,13.0,13.0,5.0,F,18
0,F,18.0,11.0,11.0,7.0,F,19
0,F,18.0,5.0,5.0,13.0,F,20
0,C,18.0,6.0,6.0,12.0,E,21
1,E,18.0,5.0,5.0,13.0,E,21
2,F,18.0,6.0,6.0,12.0,E,21
0,C,18.0,11.0,11.0,7.0,C,22
0,C,18.0,6.0,6.0,12.0,C,23
0,E,18.0,6.0,6.0,12.0,F,24
1,F,18.0,6.0,6.0,12.0,F,24
0,E,18.0,12.0,12.0,6.0,E,25
0,C,18.0,5.0,5.0,13.0,C,26
0,D,20.0,4.0,4.0,16.0,D,27
0,C,18.0,5.0,5.0,13.0,C,28
1,E,18.0,10.0,10.0,8.0,C,28
2,F,18.0,10.0,10.0,8.0,C,28
0,C,18.0,4.0,4.0,14.0,C,29
1,D,20.0,13.0,13.0,7.0,C,29
0,F,18.0,6.0,6.0,12.0,F,30
0,C,18.0,7.0,7.0,11.0,C,31
1,D,20.0,15.0,15.0,5.0,C,31
2,F,18.0,11.0,11.0,7.0,C,31
0,C,18.0,5.0,5.0,13.0,C,32
