,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,F,23.0,5.0,5.0,18.0,F,8200
0,C,26.0,7.0,7.0,19.0,C,8201
1,D,23.0,9.0,9.0,14.0,C,8201
2,E,15.0,4.0,4.0,11.0,C,8201
3,F,23.0,4.0,4.0,19.0,C,8201
0,C,26.0,13.0,13.0,13.0,F,8202
1,E,15.0,5.0,5.0,10.0,F,8202
2,F,23.0,10.0,10.0,13.0,F,8202
0,F,23.0,2.0,2.0,21.0,F,8203
0,D,23.0,11.0,11.0,12.0,D,8204
1,E,15.0,6.0,6.0,9.0,D,8204
0,F,23.0,4.0,4.0,19.0,F,8205
0,C,26.0,2.0,2.0,24.0,C,8206
1,D,23.0,9.0,9.0,14.0,C,8206
2,E,15.0,4.0,4.0,11.0,C,8206
3,F,23.0,8.0,8.0,15.0,C,8206
0,F,23.0,14.0,14.0,9.0,F,8207
0,C,26.0,6.0,6.0,20.0,C,8208
1,D,23.0,8.0,8.0,15.0,C,8208
2,E,15.0,19.0,19.0,-4.0,C,8208
0,F,23.0,5.0,5.0,18.0,F,8209
0,C,26.0,4.0,4.0,22.0,C,8210
0,D,23.0,10.0,10.0,13.0,D,8211
0,F,23.0,6.0,6.0,17.0,F,8212
0,C,26.0,11.0,11.0,15.0,F,8213
1,D,23.0,6.0,6.0,17.0,F,8213
2,E,15.0,4.0,4.0,11.0,F,8213
3,F,23.0,5.0,5.0,18.0,F,8213
0,D,23.0,6.0,6.0,17.0,D,8214
1,F,23.0,8.0,8.0,15.0,D,8214
0,E,15.0,9.0,9.0,6.0,F,8215
1,F,23.0,7.0,7.0,16.0,F,8215
0,E,15.0,6.0,6.0,9.0,E,8216
0,C,26.0,5.0,5.0,21.0,C,8217
1,D,23.0,13.0,13.0,10.0,C,8217
2,E,15.0,12.0,12.0,3.0,C,8217
3,F,23.0,7.0,7.0,16.0,C,8217
0,C,26.0,15.0,15.0,11.0,D,8218
1,D,23.0,5.0,5.0,18.0,D,8218
2,F,23.0,12.0,12.0,11.0,D,8218
0,D,23.0,13.0,13.0,10.0,D,8219
0,E,15.0,6.0,6.0,9.0,F,8220
1,F,23.0,7.0,7.0,16.0,F,8220
0,C,26.0,4.0,4.0,22.0,C,8221
1,D,23.0,3.0,3.0,20.0,C,8221
2,E,15.0,5.0,5.0,10.0,C,8221
3,F,23.0,13.0,13.0,10.0,C,8221
0,C,26.0,3.0,3.0,23.0,C,8222
1,D,23.0,13.0,13.0,10.0,C,8222
0,D,23.0,8.0,8.0,15.0,D,8223
1,E,15.0,16.0,16.0,-1.0,D,8223
0,D,23.0,7.0,7.0,16.0,D,8224
0,E,15.0,7.0,7.0,8.0,E,8225
0,D,23.0,9.0,9.0,14.0,F,8226
1,E,15.0,5.0,5.0,10.0,F,8226
2,F,23.0,9.0,9.0,14.0,F,8226
0,F,23.0,9.0,9.0,14.0,F,8227
0,C,26.0,3.0,3.0,23.0,C,8228
1,D,23.0,11.0,11.0,12.0,C,8228
2,E,15.0,8.0,8.0,7.0,C,8228
3,F,23.0,14.0,14.0,9.0,C,8228
0,C,26.0,3.0,3.0,23.0,C,8229
1,E,15.0,13.0,13.0,2.0,C,8229
0,C,26.0,7.0,7.0,19.0,C,8230
1,F,23.0,7.0,7.0,16.0,C,8230
0,C,26.0,12.0,12.0,14.0,D,8231
1,D,23.0,8.0,8.0,15.0,D,8231
2,E,15.0,8.0,8.0,7.0,D,8231
3,F,23.0,10.0,10.0,13.0,D,8231
0,E,15.0,9.0,9.0,6.0,E,8232
0,C,26.0,14.0,14.0,12.0,C,8233
1,D,23.0,11.0,11.0,12.0,C,8233
2,E,15.0,10.0,10.0,5.0,C,8233
3,F,23.0,18.0,18.0,5.0,C,8233
0,D,23.0,13.0,13.0,10.0,D,8234
0,E,15.0,5.0,5.0,10.0,E,8235
0,D,23.0,18.0,18.0,5.0,D,8236
0,C,26.0,13.0,13.0,13.0,C,8237
0,C,26.0,4.0,4.0,22.0,C,8238
1,E,15.0,16.0,16.0,-1.0,C,8238
0,F,23.0,10.0,10.0,13.0,F,8239
0,C,26.0,14.0,14.0,12.0,D,8240
1,D,23.0,9.0,9.0,14.0,D,8240
2,E,15.0,5.0,5.0,10.0,D,8240
3,F,23.0,14.0,14.0,9.0,D,8240
0,C,26.0,5.0,5.0,21.0,C,8241
0,C,26.0,10.0,10.0,16.0,F,8242
1,D,23.0,14.0,14.0,9.0,F,8242
2,E,15.0,6.0,6.0,9.0,F,8242
3,F,23.0,6.0,6.0,17.0,F,8242
0,D,23.0,8.0,8.0,15.0,D,8243
1,F,23.0,15.0,15.0,8.0,D,8243
0,C,26.0,12.0,12.0,14.0,C,8244
1,D,23.0,11.0,11.0,12.0,C,8244
2,E,15.0,10.0,10.0,5.0,C,8244
3,F,23.0,17.0,17.0,6.0,C,8244
0,D,23.0,13.0,13.0,10.0,D,8245
0,C,26.0,8.0,8.0,18.0,C,8246
0,D,23.0,6.0,6.0,17.0,D,8247
0,C,26.0,9.0,9.0,17.0,C,8248
1,D,23.0,13.0,13.0,10.0,C,8248
2,E,15.0,19.0,19.0,-4.0,C,8248
3,F,23.0,9.0,9.0,14.0,C,8248
0,D,23.0,7.0,7.0,16.0,D,8249
1,F,23.0,10.0,10.0,13.0,D,8249
0,E,15.0,14.0,14.0,1.0,E,8250
0,C,26.0,10.0,10.0,16.0,D,8251
1,D,23.0,5.0,5.0,18.0,D,8251
0,F,23.0,6.0,6.0,17.0,F,8252
0,D,23.0,13.0,13.0,10.0,D,8253
1,E,15.0,8.0,8.0,7.0,D,8253
0,C,26.0,5.0,5.0,21.0,C,8254
0,C,26.0,7.0,7.0,19.0,D,8255
1,D,23.0,4.0,4.0,19.0,D,8255
2,E,15.0,5.0,5.0,10.0,D,8255
3,F,23.0,7.0,7.0,16.0,D,8255
0,D,23.0,7.0,7.0,16.0,D,8256
0,C,26.0,6.0,6.0,20.0,C,8257
1,E,15.0,13.0,13.0,2.0,C,8257
0,C,26.0,13.0,13.0,13.0,F,8258
1,D,23.0,6.0,6.0,17.0,F,8258
2,E,15.0,10.0,10.0,5.0,F,8258
3,F,23.0,2.0,2.0,21.0,F,8258
0,C,26.0,8.0,8.0,18.0,C,8259
1,D,23.0,10.0,10.0,13.0,C,8259
2,E,15.0,3.0,3.0,12.0,C,8259
3,F,23.0,14.0,14.0,9.0,C,8259
0,C,26.0,2.0,2.0,24.0,C,8260
1,D,23.0,7.0,7.0,16.0,C,8260
2,F,23.0,11.0,11.0,12.0,C,8260
0,D,23.0,10.0,10.0,13.0,F,8261
1,F,23.0,5.0,5.0,18.0,F,8261
0,C,26.0,13.0,13.0,13.0,C,8262
1,D,23.0,12.0,12.0,11.0,C,8262
2,E,15.0,10.0,10.0,5.0,C,8262
0,D,23.0,11.0,11.0,12.0,D,8263
1,E,15.0,18.0,18.0,-3.0,D,8263
0,E,15.0,13.0,13.0,2.0,E,8264
0,D,23.0,16.0,16.0,7.0,F,8265
1,F,23.0,7.0,7.0,16.0,F,8265
0,C,26.0,8.0,8.0,18.0,C,8266
1,E,15.0,5.0,5.0,10.0,C,8266
2,F,23.0,12.0,12.0,11.0,C,8266
0,C,26.0,12.0,12.0,14.0,C,8267
1,D,23.0,11.0,11.0,12.0,C,8267
0,C,26.0,13.0,13.0,13.0,C,8268
0,F,23.0,14.0,14.0,9.0,F,8269
0,D,23.0,9.0,9.0,14.0,D,8270
0,E,15.0,3.0,3.0,12.0,F,8271
1,F,23.0,11.0,11.0,12.0,F,8271
0,F,23.0,18.0,18.0,5.0,F,8272
0,C,26.0,8.0,8.0,18.0,C,8273
0,C,26.0,12.0,12.0,14.0,C,8274
1,E,15.0,9.0,9.0,6.0,C,8274
2,F,23.0,14.0,14.0,9.0,C,8274
0,C,26.0,16.0,16.0,10.0,C,8275
0,D,23.0,8.0,8.0,15.0,D,8276
1,F,23.0,10.0,10.0,13.0,D,8276
0,C,26.0,8.0,8.0,18.0,C,8277
1,F,23.0,10.0,10.0,13.0,C,8277
0,C,26.0,3.0,3.0,23.0,C,8278
1,D,23.0,9.0,9.0,14.0,C,8278
2,F,23.0,10.0,10.0,13.0,C,8278
0,C,26.0,13.0,13.0,13.0,F,8279
1,E,15.0,6.0,6.0,9.0,F,8279
2,F,23.0,6.0,6.0,17.0,F,8279
0,E,15.0,5.0,5.0,10.0,F,8280
1,F,23.0,8.0,8.0,15.0,F,8280
0,C,26.0,9.0,9.0,17.0,C,8281
1,D,23.0,18.0,18.0,5.0,C,8281
2,F,23.0,12.0,12.0,11.0,C,8281
0,C,26.0,5.0,5.0,21.0,C,8282
1,E,15.0,2.0,2.0,13.0,C,8282
0,C,26.0,6.0,6.0,20.0,C,8283
0,C,26.0,15.0,15.0,11.0,D,8284
1,D,23.0,9.0,9.0,14.0,D,8284
0,C,26.0,5.0,5.0,21.0,C,8285
1,D,23.0,8.0,8.0,15.0,C,8285
0,F,23.0,12.0,12.0,11.0,F,8286
0,E,15.0,9.0,9.0,6.0,F,8287
1,F,23.0,11.0,11.0,12.0,F,8287
0,C,26.0,15.0,15.0,11.0,D,8288
1,D,23.0,7.0,7.0,16.0,D,8288
0,D,23.0,7.0,7.0,16.0,D,8289
1,E,15.0,8.0,8.0,7.0,D,8289
0,C,26.0,9.0,9.0,17.0,C,8290
1,D,23.0,11.0,11.0,12.0,C,8290
0,C,26.0,7.0,7.0,19.0,C,8291
1,D,23.0,12.0,12.0,11.0,C,8291
2,F,23.0,6.0,6.0,17.0,C,8291
0,D,23.0,5.0,5.0,18.0,D,8292
0,C,26.0,5.0,5.0,21.0,C,8293
1,D,23.0,14.0,14.0,9.0,C,8293
2,E,15.0,13.0,13.0,2.0,C,8293
3,F,23.0,6.0,6.0,17.0,C,8293
0,C,26.0,5.0,5.0,21.0,C,8294
1,D,23.0,13.0,13.0,10.0,C,8294
0,C,26.0,4.0,4.0,22.0,C,8295
1,D,23.0,8.0,8.0,15.0,C,8295
0,E,15.0,6.0,6.0,9.0,F,8296
1,F,23.0,8.0,8.0,15.0,F,8296
0,C,26.0,16.0,16.0,10.0,F,8297
1,D,23.0,14.0,14.0,9.0,F,8297
2,E,15.0,10.0,10.0,5.0,F,8297
3,F,23.0,11.0,11.0,12.0,F,8297
0,E,15.0,11.0,11.0,4.0,F,8298
1,F,23.0,4.0,4.0,19.0,F,8298
0,C,26.0,18.0,18.0,8.0,D,8299
1,D,23.0,2.0,2.0,21.0,D,8299
0,C,26.0,14.0,14.0,12.0,C,8300
0,C,26.0,11.0,11.0,15.0,F,8301
1,D,23.0,14.0,14.0,9.0,F,8301
2,E,15.0,4.0,4.0,11.0,F,8301
3,F,23.0,4.0,4.0,19.0,F,8301
0,C,26.0,11.0,11.0,15.0,C,8302
0,E,15.0,11.0,11.0,4.0,F,8303
1,F,23.0,6.0,6.0,17.0,F,8303
0,C,26.0,13.0,13.0,13.0,F,8304
1,E,15.0,8.0,8.0,7.0,F,8304
2,F,23.0,5.0,5.0,18.0,F,8304
0,E,15.0,4.0,4.0,11.0,F,8305
1,F,23.0,9.0,9.0,14.0,F,8305
0,C,26.0,8.0,8.0,18.0,C,8306
1,E,15.0,5.0,5.0,10.0,C,8306
2,F,23.0,12.0,12.0,11.0,C,8306
0,C,26.0,15.0,15.0,11.0,F,8307
1,D,23.0,13.0,13.0,10.0,F,8307
2,E,15.0,21.0,21.0,-6.0,F,8307
3,F,23.0,11.0,11.0,12.0,F,8307
0,C,26.0,5.0,5.0,21.0,C,8308
1,D,23.0,3.0,3.0,20.0,C,8308
2,E,15.0,8.0,8.0,7.0,C,8308
3,F,23.0,5.0,5.0,18.0,C,8308
0,E,15.0,12.0,12.0,3.0,F,8309
1,F,23.0,13.0,13.0,10.0,F,8309
0,D,23.0,4.0,4.0,19.0,F,8310
1,E,15.0,14.0,14.0,1.0,F,8310
2,F,23.0,3.0,3.0,20.0,F,8310
