,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
2,F,23.0,14.0,14.0,9.0,C,7700
0,E,18.0,4.0,4.0,14.0,E,7701
0,C,20.0,6.0,6.0,14.0,C,7702
1,D,15.0,8.0,8.0,7.0,C,7702
2,F,23.0,14.0,14.0,9.0,C,7702
0,D,15.0,4.0,4.0,11.0,E,7703
1,E,18.0,7.0,7.0,11.0,E,7703
0,D,15.0,10.0,10.0,5.0,F,7704
1,F,23.0,3.0,3.0,20.0,F,7704
0,C,20.0,12.0,12.0,8.0,F,7705
1,D,15.0,5.0,5.0,10.0,F,7705
2,E,18.0,11.0,11.0,7.0,F,7705
3,F,23.0,11.0,11.0,12.0,F,7705
0,D,15.0,10.0,10.0,5.0,D,7706
0,C,20.0,3.0,3.0,17.0,C,7707
1,D,15.0,14.0,14.0,1.0,C,7707
0,E,18.0,5.0,5.0,13.0,E,7708
0,C,20.0,10.0,10.0,10.0,F,7709
1,E,18.0,8.0,8.0,10.0,F,7709
2,F,23.0,5.0,5.0,18.0,F,7709
0,E,18.0,10.0,10.0,8.0,E,7710
0,C,20.0,7.0,7.0,13.0,F,7711
1,D,15.0,7.0,7.0,8.0,F,7711
2,E,18.0,12.0,12.0,6.0,F,7711
3,F,23.0,4.0,4.0,19.0,F,7711
0,E,18.0,7.0,7.0,11.0,E,7712
0,C,20.0,15.0,15.0,5.0,F,7713
1,D,15.0,14.0,14.0,1.0,F,7713
2,E,18.0,19.0,19.0,-1.0,F,7713
3,F,23.0,17.0,17.0,6.0,F,7713
0,D,15.0,15.0,15.0,0.0,E,7714
1,E,18.0,17.0,17.0,1.0,E,7714
0,D,15.0,5.0,5.0,10.0,F,7715
1,E,18.0,11.0,11.0,7.0,F,7715
2,F,23.0,9.0,9.0,14.0,F,7715
0,C,20.0,14.0,14.0,6.0,C,7716
1,D,15.0,10.0,10.0,5.0,C,7716
0,C,20.0,9.0,9.0,11.0,F,7717
1,D,15.0,11.0,11.0,4.0,F,7717
2,F,23.0,2.0,2.0,21.0,F,7717
0,E,18.0,8.0,8.0,10.0,E,7718
0,C,20.0,8.0,8.0,12.0,C,7719
0,C,20.0,14.0,14.0,6.0,F,7720
1,E,18.0,12.0,12.0,6.0,F,7720
2,F,23.0,14.0,14.0,9.0,F,7720
0,C,20.0,10.0,10.0,10.0,C,7721
0,C,20.0,12.0,12.0,8.0,C,7722
0,C,20.0,3.0,3.0,17.0,C,7723
1,D,15.0,15.0,15.0,0.0,C,7723
2,E,18.0,7.0,7.0,11.0,C,7723
3,F,23.0,11.0,11.0,12.0,C,7723
0,C,20.0,4.0,4.0,16.0,C,7724
1,D,15.0,11.0,11.0,4.0,C,7724
2,E,18.0,12.0,12.0,6.0,C,7724
3,F,23.0,13.0,13.0,10.0,C,7724
0,D,15.0,13.0,13.0,2.0,E,7725
1,E,18.0,7.0,7.0,11.0,E,7725
0,C,20.0,2.0,2.0,18.0,C,7726
0,D,15.0,3.0,3.0,12.0,F,7727
1,F,23.0,6.0,6.0,17.0,F,7727
0,E,18.0,3.0,3.0,15.0,E,7728
0,F,23.0,9.0,9.0,14.0,F,7729
0,C,20.0,21.0,21.0,-1.0,D,7730
1,D,15.0,10.0,10.0,5.0,D,7730
0,C,20.0,17.0,17.0,3.0,E,7731
1,D,15.0,5.0,5.0,10.0,E,7731
2,E,18.0,3.0,3.0,15.0,E,7731
3,F,23.0,13.0,13.0,10.0,E,7731
0,C,20.0,10.0,10.0,10.0,F,7732
1,D,15.0,11.0,11.0,4.0,F,7732
2,E,18.0,12.0,12.0,6.0,F,7732
3,F,23.0,7.0,7.0,16.0,F,7732
0,C,20.0,10.0,10.0,10.0,C,7733
0,C,20.0,2.0,2.0,18.0,F,7734
1,E,18.0,11.0,11.0,7.0,F,7734
2,F,23.0,3.0,3.0,20.0,F,7734
0,E,18.0,2.0,2.0,16.0,E,7735
0,F,23.0,7.0,7.0,16.0,F,7736
0,F,23.0,15.0,15.0,8.0,F,7737
0,D,15.0,5.0,5.0,10.0,D,7738
0,C,20.0,14.0,14.0,6.0,C,7739
0,D,15.0,7.0,7.0,8.0,F,7740
1,E,18.0,8.0,8.0,10.0,F,7740
2,F,23.0,4.0,4.0,19.0,F,7740
0,E,18.0,14.0,14.0,4.0,E,7741
0,C,20.0,3.0,3.0,17.0,F,7742
1,D,15.0,10.0,10.0,5.0,F,7742
2,E,18.0,7.0,7.0,11.0,F,7742
3,F,23.0,4.0,4.0,19.0,F,7742
0,C,20.0,14.0,14.0,6.0,E,7743
1,D,15.0,11.0,11.0,4.0,E,7743
2,E,18.0,5.0,5.0,13.0,E,7743
0,D,15.0,16.0,16.0,-1.0,D,7744
0,C,20.0,10.0,10.0,10.0,F,7745
1,D,15.0,5.0,5.0,10.0,F,7745
2,E,18.0,14.0,14.0,4.0,F,7745
3,F,23.0,10.0,10.0,13.0,F,7745
0,E,18.0,4.0,4.0,14.0,E,7746
0,E,18.0,13.0,13.0,5.0,E,7747
0,C,20.0,3.0,3.0,17.0,C,7748
1,D,15.0,10.0,10.0,5.0,C,7748
2,E,18.0,14.0,14.0,4.0,C,7748
