"","file","num_targets"
"1","S033_1.txt",3
"2","S033_10.txt",4
"3","S033_100.txt",2
"4","S033_101.txt",3
"5","S033_102.txt",3
"6","S033_103.txt",4
"7","S033_104.txt",3
"8","S033_105.txt",3
"9","S033_106.txt",3
"10","S033_107.txt",4
"11","S033_108.txt",3
"12","S033_109.txt",3
"13","S033_11.txt",4
"14","S033_110.txt",3
"15","S033_111.txt",4
"16","S033_112.txt",3
"17","S033_113.txt",4
"18","S033_114.txt",1
"19","S033_115.txt",3
"20","S033_116.txt",2
"21","S033_117.txt",2
"22","S033_118.txt",3
"23","S033_119.txt",4
"24","S033_12.txt",3
"25","S033_120.txt",1
"26","S033_122.txt",4
"27","S033_123.txt",3
"28","S033_124.txt",3
"29","S033_125.txt",4
"30","S033_126.txt",4
"31","S033_127.txt",4
"32","S033_128.txt",4
"33","S033_129.txt",4
"34","S033_13.txt",2
"35","S033_130.txt",3
"36","S033_131.txt",4
"37","S033_132.txt",2
"38","S033_133.txt",2
"39","S033_134.txt",4
"40","S033_135.txt",3
"41","S033_136.txt",4
"42","S033_137.txt",3
"43","S033_138.txt",2
"44","S033_139.txt",4
"45","S033_14.txt",2
"46","S033_140.txt",3
"47","S033_141.txt",2
"48","S033_142.txt",2
"49","S033_143.txt",3
"50","S033_144.txt",3
"51","S033_145.txt",4
"52","S033_146.txt",3
"53","S033_147.txt",4
"54","S033_148.txt",4
"55","S033_149.txt",3
"56","S033_15.txt",1
"57","S033_150.txt",4
"58","S033_151.txt",3
"59","S033_152.txt",3
"60","S033_153.txt",3
"61","S033_155.txt",4
"62","S033_156.txt",3
"63","S033_157.txt",4
"64","S033_158.txt",4
"65","S033_159.txt",3
"66","S033_16.txt",2
"67","S033_160.txt",3
"68","S033_161.txt",4
"69","S033_162.txt",3
"70","S033_163.txt",3
"71","S033_164.txt",3
"72","S033_165.txt",3
"73","S033_166.txt",2
"74","S033_167.txt",3
"75","S033_168.txt",4
"76","S033_169.txt",3
"77","S033_17.txt",2
"78","S033_170.txt",4
"79","S033_171.txt",3
"80","S033_172.txt",3
"81","S033_173.txt",3
"82","S033_174.txt",3
"83","S033_175.txt",4
"84","S033_176.txt",4
"85","S033_177.txt",4
"86","S033_178.txt",3
"87","S033_18.txt",3
"88","S033_180.txt",4
"89","S033_181.txt",3
"90","S033_182.txt",4
"91","S033_183.txt",3
"92","S033_184.txt",2
"93","S033_185.txt",4
"94","S033_186.txt",3
"95","S033_187.txt",4
"96","S033_188.txt",3
"97","S033_189.txt",2
"98","S033_19.txt",4
"99","S033_190.txt",3
"100","S033_191.txt",3
"101","S033_192.txt",2
"102","S033_193.txt",4
"103","S033_194.txt",2
"104","S033_195.txt",2
"105","S033_196.txt",4
"106","S033_197.txt",2
"107","S033_198.txt",3
"108","S033_2.txt",4
"109","S033_20.txt",3
"110","S033_200.txt",3
"111","S033_201.txt",4
"112","S033_202.txt",3
"113","S033_203.txt",4
"114","S033_204.txt",4
"115","S033_205.txt",4
"116","S033_206.txt",4
"117","S033_207.txt",4
"118","S033_208.txt",3
"119","S033_209.txt",3
"120","S033_21.txt",4
"121","S033_210.txt",3
"122","S033_211.txt",2
"123","S033_212.txt",3
"124","S033_213.txt",4
"125","S033_214.txt",4
"126","S033_215.txt",4
"127","S033_216.txt",1
"128","S033_217.txt",4
"129","S033_218.txt",4
"130","S033_219.txt",4
"131","S033_22.txt",2
"132","S033_220.txt",4
"133","S033_221.txt",4
"134","S033_222.txt",2
"135","S033_223.txt",2
"136","S033_224.txt",4
"137","S033_225.txt",4
"138","S033_226.txt",4
"139","S033_227.txt",4
"140","S033_228.txt",4
"141","S033_229.txt",4
"142","S033_23.txt",1
"143","S033_230.txt",4
"144","S033_231.txt",3
"145","S033_232.txt",3
"146","S033_233.txt",2
"147","S033_234.txt",1
"148","S033_235.txt",4
"149","S033_236.txt",2
"150","S033_237.txt",3
"151","S033_238.txt",3
"152","S033_239.txt",2
"153","S033_24.txt",1
"154","S033_240.txt",4
"155","S033_241.txt",3
"156","S033_242.txt",3
"157","S033_243.txt",3
"158","S033_244.txt",2
"159","S033_245.txt",3
"160","S033_246.txt",3
"161","S033_25.txt",4
"162","S033_26.txt",3
"163","S033_27.txt",4
"164","S033_28.txt",3
"165","S033_29.txt",4
"166","S033_3.txt",4
"167","S033_30.txt",2
"168","S033_31.txt",4
"169","S033_32.txt",4
"170","S033_33.txt",3
"171","S033_34.txt",3
"172","S033_35.txt",3
"173","S033_36.txt",2
"174","S033_37.txt",3
"175","S033_38.txt",2
"176","S033_39.txt",3
"177","S033_4.txt",4
"178","S033_40.txt",4
"179","S033_41.txt",3
"180","S033_42.txt",2
"181","S033_43.txt",4
"182","S033_44.txt",3
"183","S033_45.txt",4
"184","S033_46.txt",4
"185","S033_47.txt",3
"186","S033_49.txt",4
"187","S033_5.txt",4
"188","S033_50.txt",3
"189","S033_51.txt",2
"190","S033_52.txt",3
"191","S033_53.txt",3
"192","S033_54.txt",3
"193","S033_55.txt",3
"194","S033_56.txt",4
"195","S033_57.txt",2
"196","S033_58.txt",3
"197","S033_59.txt",4
"198","S033_6.txt",3
"199","S033_60.txt",2
"200","S033_61.txt",3
"201","S033_62.txt",4
"202","S033_63.txt",2
"203","S033_64.txt",4
"204","S033_65.txt",1
"205","S033_66.txt",3
"206","S033_67.txt",2
"207","S033_68.txt",4
"208","S033_69.txt",3
"209","S033_7.txt",3
"210","S033_70.txt",3
"211","S033_71.txt",3
"212","S033_72.txt",3
"213","S033_73.txt",4
"214","S033_74.txt",4
"215","S033_75.txt",3
"216","S033_76.txt",3
"217","S033_77.txt",1
"218","S033_78.txt",4
"219","S033_79.txt",4
"220","S033_8.txt",4
"221","S033_80.txt",4
"222","S033_81.txt",4
"223","S033_82.txt",2
"224","S033_83.txt",3
"225","S033_84.txt",3
"226","S033_85.txt",4
"227","S033_86.txt",3
"228","S033_87.txt",2
"229","S033_88.txt",2
"230","S033_89.txt",3
"231","S033_9.txt",2
"232","S033_90.txt",2
"233","S033_91.txt",3
"234","S033_92.txt",3
"235","S033_93.txt",4
"236","S033_94.txt",3
"237","S033_95.txt",2
"238","S033_96.txt",3
"239","S033_97.txt",3
"240","S033_98.txt",4
"241","S033_99.txt",4
