,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,C,10.5593059225939,3.0,3.0,7.5593059225939,C,1
1,D,10.4103904333897,4.0,4.0,6.410390433389701,C,1
2,E,6.62582059996203,13.0,13.0,-6.37417940003797,C,1
3,F,11.2062090514228,5.0,5.0,6.2062090514228,C,1
0,E,6.62582059996203,7.0,7.0,-0.3741794000379697,E,2
1,F,11.2062090514228,13.0,13.0,-1.7937909485772003,E,2
0,E,6.62582059996203,2.0,2.0,4.62582059996203,E,3
1,F,11.2062090514228,13.0,13.0,-1.7937909485772003,E,3
0,C,10.5593059225939,7.0,7.0,3.5593059225939,C,4
1,D,10.4103904333897,14.0,14.0,-3.5896095666102994,C,4
2,E,6.62582059996203,18.0,18.0,-11.37417940003797,C,4
3,F,11.2062090514228,11.0,11.0,0.20620905142279966,C,4
0,D,10.4103904333897,10.0,10.0,0.4103904333897006,D,5
1,F,11.2062090514228,16.0,16.0,-4.7937909485772,D,5
0,C,10.5593059225939,3.0,3.0,7.5593059225939,C,6
1,D,10.4103904333897,5.0,5.0,5.410390433389701,C,6
2,E,6.62582059996203,6.0,6.0,0.6258205999620303,C,6
0,D,10.4103904333897,12.0,12.0,-1.5896095666102994,D,7
0,C,10.5593059225939,5.0,5.0,5.5593059225939,C,8
1,D,10.4103904333897,11.0,11.0,-0.5896095666102994,C,8
2,E,6.62582059996203,4.0,4.0,2.6258205999620303,C,8
3,F,11.2062090514228,9.0,9.0,2.2062090514227997,C,8
0,C,10.5593059225939,3.0,3.0,7.5593059225939,C,9
1,D,10.4103904333897,11.0,11.0,-0.5896095666102994,C,9
0,C,10.5593059225939,5.0,5.0,5.5593059225939,C,10
1,F,11.2062090514228,12.0,12.0,-0.7937909485772003,C,10
0,C,10.5593059225939,11.0,11.0,-0.4406940774060999,C,11
1,D,10.4103904333897,16.0,16.0,-5.589609566610299,C,11
2,E,6.62582059996203,17.0,17.0,-10.37417940003797,C,11
3,F,11.2062090514228,14.0,14.0,-2.7937909485772003,C,11
0,C,10.5593059225939,11.0,11.0,-0.4406940774060999,C,12
1,E,6.62582059996203,15.0,15.0,-8.37417940003797,C,12
