,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,C,20.9795924732462,3.0,3.0,17.9795924732462,C,5182
1,F,18.879458995536,10.0,10.0,8.879458995536002,C,5182
0,F,18.879458995536,5.0,5.0,13.879458995536002,F,5183
0,E,21.2516657062806,8.0,8.0,13.251665706280601,E,5184
0,D,20.5650716074742,9.0,9.0,11.565071607474199,D,5185
0,C,20.9795924732462,13.0,13.0,7.9795924732462,C,5186
0,D,20.5650716074742,13.0,13.0,7.565071607474199,E,5187
1,E,21.2516657062806,6.0,6.0,15.251665706280601,E,5187
0,C,20.9795924732462,6.0,6.0,14.9795924732462,E,5188
1,E,21.2516657062806,2.0,2.0,19.2516657062806,E,5188
2,F,18.879458995536,6.0,6.0,12.879458995536002,E,5188
0,E,21.2516657062806,5.0,5.0,16.2516657062806,E,5189
0,C,20.9795924732462,12.0,12.0,8.9795924732462,F,5190
1,D,20.5650716074742,9.0,9.0,11.565071607474199,F,5190
2,F,18.879458995536,5.0,5.0,13.879458995536002,F,5190
0,E,21.2516657062806,11.0,11.0,10.251665706280601,E,5191
0,C,20.9795924732462,9.0,9.0,11.9795924732462,D,5192
1,D,20.5650716074742,8.0,8.0,12.565071607474199,D,5192
0,C,20.9795924732462,11.0,11.0,9.9795924732462,D,5193
1,D,20.5650716074742,5.0,5.0,15.565071607474199,D,5193
2,E,21.2516657062806,6.0,6.0,15.251665706280601,D,5193
3,F,18.879458995536,10.0,10.0,8.879458995536002,D,5193
0,C,20.9795924732462,16.0,16.0,4.9795924732462,D,5194
1,D,20.5650716074742,11.0,11.0,9.565071607474199,D,5194
0,C,20.9795924732462,12.0,12.0,8.9795924732462,E,5195
1,D,20.5650716074742,12.0,12.0,8.565071607474199,E,5195
2,E,21.2516657062806,11.0,11.0,10.251665706280601,E,5195
3,F,18.879458995536,15.0,15.0,3.8794589955360017,E,5195
0,E,21.2516657062806,17.0,17.0,4.251665706280601,E,5196
0,D,20.5650716074742,7.0,7.0,13.565071607474199,E,5197
1,E,21.2516657062806,5.0,5.0,16.2516657062806,E,5197
0,C,20.9795924732462,13.0,13.0,7.9795924732462,C,5198
1,F,18.879458995536,17.0,17.0,1.8794589955360017,C,5198
0,F,18.879458995536,13.0,13.0,5.879458995536002,F,5199
0,C,20.9795924732462,4.0,4.0,16.9795924732462,C,5200
0,E,21.2516657062806,16.0,16.0,5.251665706280601,E,5201
0,D,20.5650716074742,7.0,7.0,13.565071607474199,D,5202
1,E,21.2516657062806,8.0,8.0,13.251665706280601,D,5202
0,C,20.9795924732462,11.0,11.0,9.9795924732462,C,5203
1,F,18.879458995536,11.0,11.0,7.879458995536002,C,5203
0,C,20.9795924732462,5.0,5.0,15.9795924732462,C,5204
0,C,20.9795924732462,11.0,11.0,9.9795924732462,E,5205
1,D,20.5650716074742,11.0,11.0,9.565071607474199,E,5205
2,E,21.2516657062806,8.0,8.0,13.251665706280601,E,5205
0,D,20.5650716074742,9.0,9.0,11.565071607474199,D,5206
0,C,20.9795924732462,8.0,8.0,12.9795924732462,D,5207
1,D,20.5650716074742,4.0,4.0,16.5650716074742,D,5207
2,E,21.2516657062806,10.0,10.0,11.251665706280601,D,5207
0,C,20.9795924732462,15.0,15.0,5.9795924732462,C,5208
0,C,20.9795924732462,12.0,12.0,8.9795924732462,C,5209
1,D,20.5650716074742,13.0,13.0,7.565071607474199,C,5209
2,E,21.2516657062806,19.0,19.0,2.251665706280601,C,5209
3,F,18.879458995536,10.0,10.0,8.879458995536002,C,5209
0,C,20.9795924732462,6.0,6.0,14.9795924732462,C,5210
1,D,20.5650716074742,10.0,10.0,10.565071607474199,C,5210
2,F,18.879458995536,5.0,5.0,13.879458995536002,C,5210
0,C,20.9795924732462,6.0,6.0,14.9795924732462,E,5211
1,D,20.5650716074742,16.0,16.0,4.565071607474199,E,5211
2,E,21.2516657062806,4.0,4.0,17.2516657062806,E,5211
