,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,C,9.99659099895507,9.0,9.0,0.9965909989550692,C,1
1,F,7.88935894658789,13.0,13.0,-5.11064105341211,C,1
0,D,10.9223396284506,3.0,3.0,7.922339628450599,D,2
0,D,10.9223396284506,6.0,6.0,4.922339628450599,D,3
0,F,7.88935894658789,4.0,4.0,3.8893589465878904,F,4
0,C,9.99659099895507,10.0,10.0,-0.003409001044930804,E,5
1,D,10.9223396284506,10.0,10.0,0.9223396284505991,E,5
2,E,13.0649324161932,6.0,6.0,7.0649324161932,E,5
3,F,7.88935894658789,8.0,8.0,-0.11064105341210961,E,5
0,E,13.0649324161932,9.0,9.0,4.0649324161932,E,6
1,F,7.88935894658789,15.0,15.0,-7.11064105341211,E,6
0,F,7.88935894658789,12.0,12.0,-4.11064105341211,F,7
0,C,9.99659099895507,5.0,5.0,4.996590998955069,C,8
1,D,10.9223396284506,9.0,9.0,1.9223396284505991,C,8
2,E,13.0649324161932,10.0,10.0,3.0649324161931997,C,8
3,F,7.88935894658789,6.0,6.0,1.8893589465878904,C,8
0,D,10.9223396284506,3.0,3.0,7.922339628450599,E,9
1,E,13.0649324161932,5.0,5.0,8.0649324161932,E,9
2,F,7.88935894658789,10.0,10.0,-2.1106410534121096,E,9
0,C,9.99659099895507,6.0,6.0,3.996590998955069,C,10
1,E,13.0649324161932,13.0,13.0,0.06493241619319967,C,10
0,F,7.88935894658789,7.0,7.0,0.8893589465878904,F,11
0,F,7.88935894658789,6.0,6.0,1.8893589465878904,F,12
0,D,10.9223396284506,13.0,13.0,-2.077660371549401,E,13
1,E,13.0649324161932,13.0,13.0,0.06493241619319967,E,13
2,F,7.88935894658789,12.0,12.0,-4.11064105341211,E,13
0,C,9.99659099895507,8.0,8.0,1.9965909989550692,E,14
1,D,10.9223396284506,14.0,14.0,-3.077660371549401,E,14
2,E,13.0649324161932,9.0,9.0,4.0649324161932,E,14
0,C,9.99659099895507,12.0,12.0,-2.003409001044931,E,15
1,E,13.0649324161932,6.0,6.0,7.0649324161932,E,15
0,E,13.0649324161932,12.0,12.0,1.0649324161931997,F,16
1,F,7.88935894658789,6.0,6.0,1.8893589465878904,F,16
0,E,13.0649324161932,7.0,7.0,6.0649324161932,E,17
1,F,7.88935894658789,19.0,19.0,-11.11064105341211,E,17
0,C,9.99659099895507,5.0,5.0,4.996590998955069,C,18
1,E,13.0649324161932,9.0,9.0,4.0649324161932,C,18
2,F,7.88935894658789,6.0,6.0,1.8893589465878904,C,18
0,F,7.88935894658789,4.0,4.0,3.8893589465878904,F,19
0,C,9.99659099895507,15.0,15.0,-5.003409001044931,E,20
1,D,10.9223396284506,9.0,9.0,1.9223396284505991,E,20
2,E,13.0649324161932,6.0,6.0,7.0649324161932,E,20
0,D,10.9223396284506,3.0,3.0,7.922339628450599,D,21
1,E,13.0649324161932,10.0,10.0,3.0649324161931997,D,21
0,C,9.99659099895507,4.0,4.0,5.996590998955069,C,22
0,E,13.0649324161932,6.0,6.0,7.0649324161932,E,23
0,F,7.88935894658789,10.0,10.0,-2.1106410534121096,F,24
0,D,10.9223396284506,14.0,14.0,-3.077660371549401,E,25
1,E,13.0649324161932,3.0,3.0,10.0649324161932,E,25
0,C,9.99659099895507,13.0,13.0,-3.003409001044931,D,26
1,D,10.9223396284506,9.0,9.0,1.9223396284505991,D,26
2,E,13.0649324161932,13.0,13.0,0.06493241619319967,D,26
0,E,13.0649324161932,15.0,15.0,-1.9350675838068003,E,27
0,D,10.9223396284506,11.0,11.0,-0.07766037154940086,D,28
0,D,10.9223396284506,10.0,10.0,0.9223396284505991,E,29
1,E,13.0649324161932,12.0,12.0,1.0649324161931997,E,29
2,F,7.88935894658789,18.0,18.0,-10.11064105341211,E,29
0,C,9.99659099895507,9.0,9.0,0.9965909989550692,E,30
1,D,10.9223396284506,13.0,13.0,-2.077660371549401,E,30
2,E,13.0649324161932,11.0,11.0,2.0649324161931997,E,30
0,E,13.0649324161932,10.0,10.0,3.0649324161931997,E,31
0,C,9.99659099895507,6.0,6.0,3.996590998955069,E,32
1,E,13.0649324161932,7.0,7.0,6.0649324161932,E,32
0,D,10.9223396284506,4.0,4.0,6.922339628450599,D,33
1,E,13.0649324161932,19.0,19.0,-5.9350675838068,D,33
2,F,7.88935894658789,11.0,11.0,-3.1106410534121096,D,33
0,C,9.99659099895507,7.0,7.0,2.996590998955069,C,34
1,E,13.0649324161932,13.0,13.0,0.06493241619319967,C,34
2,F,7.88935894658789,7.0,7.0,0.8893589465878904,C,34
0,C,9.99659099895507,10.0,10.0,-0.003409001044930804,E,35
1,D,10.9223396284506,8.0,8.0,2.922339628450599,E,35
2,E,13.0649324161932,4.0,4.0,9.0649324161932,E,35
3,F,7.88935894658789,6.0,6.0,1.8893589465878904,E,35
0,D,10.9223396284506,11.0,11.0,-0.07766037154940086,F,36
1,E,13.0649324161932,15.0,15.0,-1.9350675838068003,F,36
2,F,7.88935894658789,6.0,6.0,1.8893589465878904,F,36
0,F,7.88935894658789,7.0,7.0,0.8893589465878904,F,37
0,D,10.9223396284506,5.0,5.0,5.922339628450599,D,38
1,E,13.0649324161932,10.0,10.0,3.0649324161931997,D,38
2,F,7.88935894658789,9.0,9.0,-1.1106410534121096,D,38
0,C,9.99659099895507,9.0,9.0,0.9965909989550692,C,39
1,D,10.9223396284506,11.0,11.0,-0.07766037154940086,C,39
2,E,13.0649324161932,20.0,20.0,-6.9350675838068,C,39
0,C,9.99659099895507,9.0,9.0,0.9965909989550692,C,40
0,C,9.99659099895507,7.0,7.0,2.996590998955069,C,41
1,D,10.9223396284506,9.0,9.0,1.9223396284505991,C,41
2,E,13.0649324161932,19.0,19.0,-5.9350675838068,C,41
3,F,7.88935894658789,15.0,15.0,-7.11064105341211,C,41
0,F,7.88935894658789,18.0,18.0,-10.11064105341211,F,42
0,C,9.99659099895507,4.0,4.0,5.996590998955069,E,43
