"","V1","mu","sd","sk"
"subj's family1",23,20.25,2.06155281280883,0.267502527613603
"subj's family2",20,20.25,2.06155281280883,0.267502527613603
"subj's family3",18,20.25,2.06155281280883,0.267502527613603
"subj's family4",20,20.25,2.06155281280883,0.267502527613603
