,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,D,20.0,15.0,15.0,5.0,E,1
1,E,18.0,7.0,7.0,11.0,E,1
0,D,20.0,8.0,8.0,12.0,D,2
1,E,18.0,9.0,9.0,9.0,D,2
2,F,15.0,7.0,7.0,8.0,D,2
0,C,20.0,7.0,7.0,13.0,C,3
0,C,20.0,7.0,7.0,13.0,C,4
1,D,20.0,9.0,9.0,11.0,C,4
0,D,20.0,2.0,2.0,18.0,D,5
1,E,18.0,8.0,8.0,10.0,D,5
2,F,15.0,9.0,9.0,6.0,D,5
0,D,20.0,12.0,12.0,8.0,D,6
0,C,20.0,11.0,11.0,9.0,C,7
1,D,20.0,13.0,13.0,7.0,C,7
2,E,18.0,13.0,13.0,5.0,C,7
0,D,20.0,10.0,10.0,10.0,D,8
1,F,15.0,10.0,10.0,5.0,D,8
0,C,20.0,6.0,6.0,14.0,D,9
1,D,20.0,4.0,4.0,16.0,D,9
2,E,18.0,11.0,11.0,7.0,D,9
3,F,15.0,24.0,24.0,-9.0,D,9
0,E,18.0,10.0,10.0,8.0,E,10
0,C,20.0,8.0,8.0,12.0,C,11
1,E,18.0,16.0,16.0,2.0,C,11
2,F,15.0,7.0,7.0,8.0,C,11
0,C,20.0,5.0,5.0,15.0,C,12
0,C,20.0,6.0,6.0,14.0,C,13
1,D,20.0,8.0,8.0,12.0,C,13
2,E,18.0,8.0,8.0,10.0,C,13
3,F,15.0,8.0,8.0,7.0,C,13
0,D,20.0,8.0,8.0,12.0,D,14
0,F,15.0,9.0,9.0,6.0,F,15
0,C,20.0,13.0,13.0,7.0,D,16
1,D,20.0,7.0,7.0,13.0,D,16
2,E,18.0,8.0,8.0,10.0,D,16
0,C,20.0,6.0,6.0,14.0,C,17
0,E,18.0,7.0,7.0,11.0,E,18
1,F,15.0,12.0,12.0,3.0,E,18
0,C,20.0,9.0,9.0,11.0,C,19
0,C,20.0,9.0,9.0,11.0,C,20
1,F,15.0,9.0,9.0,6.0,C,20
0,C,20.0,11.0,11.0,9.0,D,21
1,D,20.0,5.0,5.0,15.0,D,21
2,E,18.0,5.0,5.0,13.0,D,21
3,F,15.0,9.0,9.0,6.0,D,21
0,C,20.0,8.0,8.0,12.0,D,22
1,D,20.0,6.0,6.0,14.0,D,22
2,E,18.0,8.0,8.0,10.0,D,22
3,F,15.0,14.0,14.0,1.0,D,22
0,C,20.0,13.0,13.0,7.0,E,23
1,E,18.0,3.0,3.0,15.0,E,23
0,C,20.0,5.0,5.0,15.0,C,24
1,D,20.0,10.0,10.0,10.0,C,24
2,E,18.0,10.0,10.0,8.0,C,24
3,F,15.0,3.0,3.0,12.0,C,24
0,D,20.0,4.0,4.0,16.0,D,25
1,E,18.0,11.0,11.0,7.0,D,25
0,D,20.0,6.0,6.0,14.0,D,26
1,E,18.0,7.0,7.0,11.0,D,26
2,F,15.0,2.0,2.0,13.0,D,26
0,C,20.0,5.0,5.0,15.0,C,27
1,D,20.0,8.0,8.0,12.0,C,27
2,E,18.0,7.0,7.0,11.0,C,27
3,F,15.0,9.0,9.0,6.0,C,27
0,D,20.0,21.0,21.0,-1.0,D,28
1,E,18.0,20.0,20.0,-2.0,D,28
0,E,18.0,10.0,10.0,8.0,E,29
1,F,15.0,8.0,8.0,7.0,E,29
0,C,20.0,3.0,3.0,17.0,C,30
1,E,18.0,8.0,8.0,10.0,C,30
0,F,15.0,7.0,7.0,8.0,F,31
0,C,20.0,3.0,3.0,17.0,C,32
1,E,18.0,3.0,3.0,15.0,C,32
2,F,15.0,9.0,9.0,6.0,C,32
0,C,20.0,15.0,15.0,5.0,C,33
0,E,18.0,9.0,9.0,9.0,E,34
0,C,20.0,4.0,4.0,16.0,C,35
1,D,20.0,11.0,11.0,9.0,C,35
0,E,18.0,4.0,4.0,14.0,E,36
0,D,20.0,12.0,12.0,8.0,E,37
1,E,18.0,5.0,5.0,13.0,E,37
2,F,15.0,16.0,16.0,-1.0,E,37
0,C,20.0,2.0,2.0,18.0,C,38
0,D,20.0,11.0,11.0,9.0,D,39
0,E,18.0,12.0,12.0,6.0,E,40
0,C,20.0,10.0,10.0,10.0,C,41
1,F,15.0,9.0,9.0,6.0,C,41
0,C,20.0,13.0,13.0,7.0,C,42
1,E,18.0,12.0,12.0,6.0,C,42
2,F,15.0,9.0,9.0,6.0,C,42
0,E,18.0,8.0,8.0,10.0,E,43
0,C,20.0,4.0,4.0,16.0,C,44
1,D,20.0,10.0,10.0,10.0,C,44
2,E,18.0,2.0,2.0,16.0,C,44
3,F,15.0,11.0,11.0,4.0,C,44
0,C,20.0,8.0,8.0,12.0,D,45
1,D,20.0,7.0,7.0,13.0,D,45
2,E,18.0,15.0,15.0,3.0,D,45
3,F,15.0,10.0,10.0,5.0,D,45
0,C,20.0,17.0,17.0,3.0,D,46
1,D,20.0,6.0,6.0,14.0,D,46
2,E,18.0,10.0,10.0,8.0,D,46
3,F,15.0,15.0,15.0,0.0,D,46
0,C,20.0,8.0,8.0,12.0,C,47
1,D,20.0,17.0,17.0,3.0,C,47
0,D,20.0,3.0,3.0,17.0,D,48
1,F,15.0,14.0,14.0,1.0,D,48
0,D,20.0,11.0,11.0,9.0,E,49
1,E,18.0,9.0,9.0,9.0,E,49
0,E,18.0,10.0,10.0,8.0,E,50
1,F,15.0,10.0,10.0,5.0,E,50
0,C,20.0,4.0,4.0,16.0,C,51
1,D,20.0,7.0,7.0,13.0,C,51
2,E,18.0,11.0,11.0,7.0,C,51
3,F,15.0,13.0,13.0,2.0,C,51
0,C,20.0,4.0,4.0,16.0,C,52
1,D,20.0,8.0,8.0,12.0,C,52
2,F,15.0,7.0,7.0,8.0,C,52
0,C,20.0,10.0,10.0,10.0,C,53
1,D,20.0,13.0,13.0,7.0,C,53
0,D,20.0,11.0,11.0,9.0,D,54
0,C,20.0,16.0,16.0,4.0,C,55
0,F,15.0,14.0,14.0,1.0,F,56
0,C,20.0,10.0,10.0,10.0,D,57
1,D,20.0,8.0,8.0,12.0,D,57
2,E,18.0,14.0,14.0,4.0,D,57
3,F,15.0,10.0,10.0,5.0,D,57
0,C,20.0,9.0,9.0,11.0,E,58
1,D,20.0,8.0,8.0,12.0,E,58
2,E,18.0,6.0,6.0,12.0,E,58
0,D,20.0,7.0,7.0,13.0,D,59
0,E,18.0,10.0,10.0,8.0,E,60
1,F,15.0,12.0,12.0,3.0,E,60
0,F,15.0,8.0,8.0,7.0,F,61
0,E,18.0,5.0,5.0,13.0,E,62
0,C,20.0,8.0,8.0,12.0,C,63
0,C,20.0,10.0,10.0,10.0,D,64
1,D,20.0,3.0,3.0,17.0,D,64
2,E,18.0,9.0,9.0,9.0,D,64
3,F,15.0,9.0,9.0,6.0,D,64
0,D,20.0,5.0,5.0,15.0,D,65
1,E,18.0,8.0,8.0,10.0,D,65
2,F,15.0,12.0,12.0,3.0,D,65
0,D,20.0,7.0,7.0,13.0,D,66
1,F,15.0,5.0,5.0,10.0,D,66
0,C,20.0,12.0,12.0,8.0,E,67
1,D,20.0,15.0,15.0,5.0,E,67
2,E,18.0,7.0,7.0,11.0,E,67
0,C,20.0,12.0,12.0,8.0,C,68
1,D,20.0,16.0,16.0,4.0,C,68
2,E,18.0,11.0,11.0,7.0,C,68
3,F,15.0,16.0,16.0,-1.0,C,68
0,D,20.0,25.0,25.0,-5.0,E,69
1,E,18.0,3.0,3.0,15.0,E,69
0,C,20.0,8.0,8.0,12.0,E,70
1,E,18.0,5.0,5.0,13.0,E,70
2,F,15.0,6.0,6.0,9.0,E,70
0,D,20.0,12.0,12.0,8.0,D,71
1,F,15.0,8.0,8.0,7.0,D,71
