,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
0,C,20.0,13.0,13.0,7.0,D,1
1,D,20.0,3.0,3.0,17.0,D,1
2,E,18.0,6.0,6.0,12.0,D,1
3,F,20.0,9.0,9.0,11.0,D,1
0,D,20.0,9.0,9.0,11.0,F,2
1,F,20.0,3.0,3.0,17.0,F,2
0,D,20.0,7.0,7.0,13.0,D,3
1,E,18.0,7.0,7.0,11.0,D,3
0,C,20.0,7.0,7.0,13.0,F,4
1,D,20.0,9.0,9.0,11.0,F,4
2,E,18.0,7.0,7.0,11.0,F,4
3,F,20.0,5.0,5.0,15.0,F,4
0,C,20.0,13.0,13.0,7.0,C,5
0,C,20.0,17.0,17.0,3.0,D,6
1,D,20.0,9.0,9.0,11.0,D,6
2,E,18.0,8.0,8.0,10.0,D,6
3,F,20.0,9.0,9.0,11.0,D,6
0,C,20.0,5.0,5.0,15.0,D,7
1,D,20.0,4.0,4.0,16.0,D,7
2,E,18.0,6.0,6.0,12.0,D,7
3,F,20.0,14.0,14.0,6.0,D,7
0,C,20.0,9.0,9.0,11.0,D,8
1,D,20.0,3.0,3.0,17.0,D,8
2,E,18.0,14.0,14.0,4.0,D,8
0,D,20.0,4.0,4.0,16.0,D,9
0,D,20.0,21.0,21.0,-1.0,D,10
0,C,20.0,7.0,7.0,13.0,C,11
0,C,20.0,13.0,13.0,7.0,D,12
1,D,20.0,5.0,5.0,15.0,D,12
2,E,18.0,17.0,17.0,1.0,D,12
3,F,20.0,11.0,11.0,9.0,D,12
0,C,20.0,10.0,10.0,10.0,C,13
0,F,20.0,11.0,11.0,9.0,F,14
0,E,18.0,6.0,6.0,12.0,E,15
1,F,20.0,13.0,13.0,7.0,E,15
0,D,20.0,10.0,10.0,10.0,D,16
0,C,20.0,11.0,11.0,9.0,F,17
1,D,20.0,11.0,11.0,9.0,F,17
2,E,18.0,17.0,17.0,1.0,F,17
3,F,20.0,8.0,8.0,12.0,F,17
0,E,18.0,3.0,3.0,15.0,E,18
0,E,18.0,4.0,4.0,14.0,E,19
0,D,20.0,17.0,17.0,3.0,F,20
1,F,20.0,14.0,14.0,6.0,F,20
0,D,20.0,13.0,13.0,7.0,D,21
0,E,18.0,11.0,11.0,7.0,E,22
0,D,20.0,3.0,3.0,17.0,D,23
1,E,18.0,8.0,8.0,10.0,D,23
0,C,20.0,9.0,9.0,11.0,F,24
1,D,20.0,12.0,12.0,8.0,F,24
2,E,18.0,12.0,12.0,6.0,F,24
3,F,20.0,4.0,4.0,16.0,F,24
0,C,20.0,11.0,11.0,9.0,F,25
1,D,20.0,17.0,17.0,3.0,F,25
2,E,18.0,15.0,15.0,3.0,F,25
3,F,20.0,5.0,5.0,15.0,F,25
0,E,18.0,15.0,15.0,3.0,E,26
0,C,20.0,6.0,6.0,14.0,C,27
0,D,20.0,5.0,5.0,15.0,D,28
0,C,20.0,7.0,7.0,13.0,F,29
1,D,20.0,17.0,17.0,3.0,F,29
2,F,20.0,2.0,2.0,18.0,F,29
0,E,18.0,14.0,14.0,4.0,E,30
0,C,20.0,12.0,12.0,8.0,D,31
1,D,20.0,9.0,9.0,11.0,D,31
2,E,18.0,7.0,7.0,11.0,D,31
0,F,20.0,6.0,6.0,14.0,F,32
0,D,20.0,10.0,10.0,10.0,F,33
1,F,20.0,10.0,10.0,10.0,F,33
0,E,18.0,4.0,4.0,14.0,E,34
0,C,20.0,9.0,9.0,11.0,D,35
1,D,20.0,3.0,3.0,17.0,D,35
2,E,18.0,6.0,6.0,12.0,D,35
3,F,20.0,16.0,16.0,4.0,D,35
0,C,20.0,16.0,16.0,4.0,D,36
1,D,20.0,4.0,4.0,16.0,D,36
2,F,20.0,12.0,12.0,8.0,D,36
0,D,20.0,14.0,14.0,6.0,E,37
1,E,18.0,4.0,4.0,14.0,E,37
2,F,20.0,6.0,6.0,14.0,E,37
0,F,20.0,13.0,13.0,7.0,F,38
0,C,20.0,9.0,9.0,11.0,E,39
1,E,18.0,4.0,4.0,14.0,E,39
2,F,20.0,16.0,16.0,4.0,E,39
0,C,20.0,12.0,12.0,8.0,C,40
1,E,18.0,10.0,10.0,8.0,C,40
0,C,20.0,10.0,10.0,10.0,D,41
1,D,20.0,5.0,5.0,15.0,D,41
2,F,20.0,8.0,8.0,12.0,D,41
0,C,20.0,6.0,6.0,14.0,C,42
1,E,18.0,20.0,20.0,-2.0,C,42
2,F,20.0,6.0,6.0,14.0,C,42
0,D,20.0,16.0,16.0,4.0,D,43
0,D,20.0,8.0,8.0,12.0,D,44
0,E,18.0,9.0,9.0,9.0,E,45
0,D,20.0,7.0,7.0,13.0,F,46
1,F,20.0,2.0,2.0,18.0,F,46
0,C,20.0,9.0,9.0,11.0,F,47
1,D,20.0,12.0,12.0,8.0,F,47
2,E,18.0,7.0,7.0,11.0,F,47
3,F,20.0,2.0,2.0,18.0,F,47
0,F,20.0,12.0,12.0,8.0,F,48
0,E,18.0,6.0,6.0,12.0,F,49
1,F,20.0,6.0,6.0,14.0,F,49
0,C,20.0,8.0,8.0,12.0,C,50
0,E,18.0,10.0,10.0,8.0,E,51
0,D,20.0,15.0,15.0,5.0,F,52
1,E,18.0,4.0,4.0,14.0,F,52
2,F,20.0,4.0,4.0,16.0,F,52
0,C,20.0,10.0,10.0,10.0,F,53
1,E,18.0,12.0,12.0,6.0,F,53
2,F,20.0,4.0,4.0,16.0,F,53
0,D,20.0,7.0,7.0,13.0,D,54
1,F,20.0,13.0,13.0,7.0,D,54
0,C,20.0,6.0,6.0,14.0,C,55
1,D,20.0,6.0,6.0,14.0,C,55
2,E,18.0,15.0,15.0,3.0,C,55
3,F,20.0,14.0,14.0,6.0,C,55
0,C,20.0,5.0,5.0,15.0,C,56
1,D,20.0,12.0,12.0,8.0,C,56
2,E,18.0,11.0,11.0,7.0,C,56
0,C,20.0,4.0,4.0,16.0,C,57
1,E,18.0,4.0,4.0,14.0,C,57
2,F,20.0,11.0,11.0,9.0,C,57
0,C,20.0,15.0,15.0,5.0,C,58
1,E,18.0,23.0,23.0,-5.0,C,58
0,C,20.0,14.0,14.0,6.0,F,59
