"","file","num_targets"
"215","S022b_119.txt",4
"216","S022b_1190.txt",1
"217","S022b_1191.txt",3
"218","S022b_1192.txt",3
"219","S022b_1193.txt",3
"220","S022b_1194.txt",2
"221","S022b_1195.txt",3
"222","S022b_1196.txt",3
"223","S022b_1197.txt",1
"224","S022b_1198.txt",1
"225","S022b_1199.txt",3
"226","S022b_12.txt",4
"227","S022b_120.txt",1
"228","S022b_1200.txt",1
"229","S022b_1201.txt",1
"230","S022b_1202.txt",3
"231","S022b_1203.txt",1
"232","S022b_1204.txt",4
"233","S022b_1205.txt",3
"234","S022b_1206.txt",1
"235","S022b_1207.txt",3
"236","S022b_1208.txt",3
"237","S022b_1209.txt",4
"238","S022b_121.txt",1
"239","S022b_1210.txt",1
"240","S022b_1211.txt",1
"241","S022b_1212.txt",3
"242","S022b_1213.txt",1
"243","S022b_1214.txt",3
"244","S022b_1215.txt",1
"245","S022b_1216.txt",3
"246","S022b_1217.txt",2
"247","S022b_1218.txt",1
"248","S022b_1219.txt",1
"249","S022b_122.txt",4
"250","S022b_1220.txt",3
"251","S022b_1221.txt",1
"252","S022b_1222.txt",2
"253","S022b_1223.txt",4
"254","S022b_1224.txt",1
"255","S022b_1225.txt",4
"256","S022b_1226.txt",4
"257","S022b_1227.txt",1
"258","S022b_1228.txt",1
"259","S022b_1229.txt",4
"260","S022b_123.txt",3
"261","S022b_1230.txt",1
"262","S022b_1231.txt",2
"263","S022b_1232.txt",1
"264","S022b_1233.txt",4
"265","S022b_1234.txt",1
"266","S022b_1235.txt",1
"267","S022b_1236.txt",4
"268","S022b_1237.txt",4
"269","S022b_1238.txt",3
"270","S022b_1239.txt",1
"271","S022b_124.txt",3
"272","S022b_1240.txt",3
"273","S022b_1241.txt",2
"274","S022b_1242.txt",2
"275","S022b_1243.txt",1
"276","S022b_1244.txt",2
"277","S022b_1245.txt",3
"278","S022b_1246.txt",2
"279","S022b_1247.txt",2
"280","S022b_1248.txt",1
"281","S022b_1249.txt",4
"282","S022b_125.txt",1
"283","S022b_1250.txt",1
"284","S022b_1251.txt",2
"285","S022b_1252.txt",1
"286","S022b_1253.txt",2
"287","S022b_1254.txt",1
"288","S022b_1255.txt",2
"289","S022b_1256.txt",3
"290","S022b_1257.txt",3
"291","S022b_1258.txt",2
"292","S022b_1259.txt",1
"293","S022b_126.txt",2
"294","S022b_1260.txt",3
"295","S022b_1261.txt",3
"296","S022b_1262.txt",2
"297","S022b_1263.txt",4
"298","S022b_1264.txt",2
"299","S022b_1265.txt",4
"300","S022b_1266.txt",4
"301","S022b_1267.txt",1
"302","S022b_1268.txt",2
"303","S022b_1269.txt",2
"304","S022b_127.txt",4
"305","S022b_1270.txt",1
"306","S022b_1271.txt",1
"307","S022b_1272.txt",2
"308","S022b_1273.txt",3
"309","S022b_1274.txt",4
"310","S022b_1275.txt",2
"311","S022b_1276.txt",2
"312","S022b_1277.txt",3
"313","S022b_1278.txt",1
"314","S022b_1279.txt",1
"315","S022b_128.txt",4
"316","S022b_1280.txt",4
"317","S022b_1281.txt",2
"318","S022b_1282.txt",1
"319","S022b_1283.txt",2
"320","S022b_1284.txt",3
"321","S022b_1285.txt",3
"322","S022b_1286.txt",1
"323","S022b_1287.txt",2
"324","S022b_1288.txt",4
"325","S022b_1289.txt",1
"326","S022b_129.txt",4
"327","S022b_1290.txt",2
"328","S022b_1291.txt",2
"329","S022b_1292.txt",2
"330","S022b_1293.txt",2
"331","S022b_1294.txt",1
"332","S022b_1295.txt",4
"333","S022b_1296.txt",2
"334","S022b_1297.txt",3
"335","S022b_1298.txt",3
"336","S022b_1299.txt",4
"337","S022b_13.txt",2
"338","S022b_130.txt",1
"339","S022b_1300.txt",1
"340","S022b_1301.txt",4
"341","S022b_1302.txt",1
"342","S022b_1303.txt",1
"343","S022b_1304.txt",1
"344","S022b_1305.txt",2
"345","S022b_1306.txt",2
"346","S022b_1307.txt",2
"347","S022b_1308.txt",3
"348","S022b_1309.txt",2
"349","S022b_131.txt",1
"350","S022b_1310.txt",2
"351","S022b_1311.txt",2
"352","S022b_1312.txt",3
"353","S022b_1313.txt",1
