,step,train_error,validation_error
0,0,0.75,1.0
1,100,0.6000000238418579,0.9750000238418579
2,200,0.574999988079071,0.5250000357627869
3,300,0.550000011920929,0.5
4,400,0.75,0.7250000238418579
5,500,0.6000000238418579,0.675000011920929
6,600,0.25,0.5
7,700,0.5,0.75
8,800,0.25,0.5
9,900,0.30000001192092896,0.6500000357627869
10,1000,0.30000001192092896,0.6500000357627869
11,1100,0.2750000059604645,0.6500000357627869
12,1200,0.375,0.824999988079071
13,1300,0.375,0.824999988079071
14,1400,0.22500000894069672,0.6500000357627869
15,1500,0.15000000596046448,0.824999988079071
16,1600,0.07500000298023224,0.6500000357627869
17,1700,0.10000000149011612,0.699999988079071
18,1800,0.07500000298023224,0.75
19,1900,0.05000000074505806,0.550000011920929
20,2000,0.07500000298023224,0.7250000238418579
21,2100,0.07500000298023224,0.6500000357627869
22,2200,0.07500000298023224,0.7750000357627869
23,2300,0.07500000298023224,0.6500000357627869
24,2400,0.07500000298023224,0.8500000238418579
25,2500,0.17499999701976776,0.800000011920929
26,2600,0.17499999701976776,0.625
27,2700,0.17499999701976776,0.800000011920929
28,2800,0.05000000074505806,0.6000000238418579
29,2900,0.17499999701976776,0.6500000357627869
30,3000,0.125,0.550000011920929
31,3100,0.07500000298023224,0.699999988079071
32,3200,0.07500000298023224,0.625
33,3300,0.05000000074505806,0.675000011920929
34,3400,0.07500000298023224,0.550000011920929
35,3500,0.05000000074505806,0.550000011920929
36,3600,0.17499999701976776,0.625
37,3700,0.125,0.6000000238418579
38,3800,0.125,0.800000011920929
39,3900,0.125,0.6500000357627869
40,4000,0.07500000298023224,0.6000000238418579
41,4100,0.125,0.6000000238418579
42,4200,0.07500000298023224,0.550000011920929
43,4300,0.07500000298023224,0.6500000357627869
44,4400,0.05000000074505806,0.6500000357627869
45,4500,0.17499999701976776,0.550000011920929
46,4600,0.17499999701976776,0.574999988079071
47,4700,0.07500000298023224,0.75
48,4800,0.05000000074505806,0.7750000357627869
49,4900,0.07500000298023224,0.75
50,5000,0.10000000149011612,0.75
51,5100,0.05000000074505806,0.550000011920929
52,5200,0.07500000298023224,0.699999988079071
53,5300,0.125,0.699999988079071
54,5400,0.07500000298023224,0.6000000238418579
55,5500,0.125,0.699999988079071
56,5600,0.05000000074505806,0.675000011920929
57,5700,0.17499999701976776,0.550000011920929
58,5800,0.07500000298023224,0.75
59,5900,0.17499999701976776,0.75
60,6000,0.17499999701976776,0.699999988079071
61,6100,0.07500000298023224,0.550000011920929
62,6200,0.17499999701976776,0.550000011920929
63,6300,0.07500000298023224,0.699999988079071
64,6400,0.17499999701976776,0.550000011920929
65,6500,0.10000000149011612,0.6500000357627869
66,6600,0.07500000298023224,0.699999988079071
67,6700,0.17499999701976776,0.550000011920929
68,6800,0.07500000298023224,0.574999988079071
69,6900,0.05000000074505806,0.699999988079071
